People's Republic of China (CN),0,,buyer country,,,"Hong Kong, Macao and Taiwan investment enterprises",0,,Sino-foreign joint venture,0,,Seller Category C,,,,,Foreign-owned,Domestic-funded enterprises,Joint venture,Hong Kong and Taiwan investment companies,,,,,Seller ownership,,,,,,Intellectual Property A,,,,,Domestic patent,technical secrets,No intellectual property rights,,Technical Services,0,Contract type A,,,,,technology development,Consulting and services,technology transfer,intellectual property transactions,,Installment payment,1,,payment method,,,Seller name,,,Seller name,,,Buyer name,,,Buyer name,,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Buyer Category B,,,buyer country,,,buyer country,,,Seller Category C,,,Seller Category C,,,Seller ownership,,,Seller ownership,,,Intellectual Property A,,,Intellectual Property A,,,Contract type A,,,Contract type A,,,payment method,,,payment method,
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Motorola (China) Electronics Co., Ltd.",2,,"Bank of Qingdao Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Nokia (China) Investment Co., Ltd.",2,,"China Construction Bank Co., Ltd. Beijing Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Hainan Pioneer Pharmaceutical Co., Ltd.",2,,"China Construction Bank Co., Ltd. Beijing Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Pioneer Pharmaceutical Co., Ltd.",2,,"Zhengzhou Commercial Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Tianjin Zhongtianyuan Pharmaceutical Co., Ltd.",2,,"China Construction Bank Co., Ltd. Shanxi Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Hubei Sibao Pharmaceutical Co., Ltd.",2,,"Chongqing Rural Commercial Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Toshiba Mobile Communications Co., Ltd.",2,,"China Construction Bank Co., Ltd. Jiangxi Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Jiangsu Huanghai Pharmaceutical Co., Ltd.",2,,"Agricultural Bank of China Co., Ltd. Hebei Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Sichuan Baili Pharmaceutical Co., Ltd.",2,,"China Construction Bank Co., Ltd. Beijing Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Sichuan Xinston Pharmaceutical Co., Ltd.",2,,Ningbo Yinzhou Rural Cooperative Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"China Mobile Communications Group Shanghai Co., Ltd.",2,,"China Construction Bank Co., Ltd. Shaanxi Provincial Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Jiangsu Yangzijiang Pharmaceutical Group Co., Ltd.",2,,Agricultural Bank of China Shenzhen Branch,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Daewoo Information Co., Ltd.",2,,"Hua Xia Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Chengdu Beite Pharmaceutical Co., Ltd.",2,,"Hua Xia Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Shandong Continental Pharmaceutical Co., Ltd.",2,,Huishang Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Dalian Daxian Communications Co., Ltd.",2,,Shenzhen Development Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Yunnan Wanyu Pharmaceutical Co., Ltd.",2,,Shanghai Rural Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",2,,"Lanzhou Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Liaoning Mobile Communications Co., Ltd.",2,,Jiangxi Federation of Rural Credit Cooperatives,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Xuzhou Enhua Pharmaceutical Group Co., Ltd.",2,,Jiangsu Federation of Rural Credit Cooperatives,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Qingdao Guofeng Pharmaceutical Co., Ltd.",2,,Changshu Rural Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,China Mobile Communications Group Corporation,2,,"Hebei Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,Inner Mongolia Mobile Communications Company,2,,"Yibin Commercial Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Panasonic Electric Works INFORMATION SYSTEM Co., Ltd.",2,,Tianjin Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Internet Times (Beijing) Technology Co., Ltd.",18,,"Guizhou Pharmaceutical (Group) Co., Ltd.",2,,"Beijing 3158 International Media Advertising Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Guizhou Gute Bioengineering Co., Ltd.",2,,"Cangzhou Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Xuzhou Enhua Pharmaceutical Group Co., Ltd.",2,,Jinzhou Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Hainan Kangli Pharmaceutical Co., Ltd.",2,,Jinzhou Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Tianjin Zhongxin Pharmaceutical Group Co., Ltd. Sixth Traditional Chinese Medicine Factory",2,,Shangrao Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,Ministry of Foreign Affairs Information Work Leading Group,3,,Zhejiang Chouzhou Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Guizhou Xinbang Pharmaceutical Co., Ltd.",2,,"Jiaxing Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology transfer,1,,,,0,0,1,1,,,,,commission payment,1,,,,,"Beijing Dacheng Wuxian Technology Co., Ltd.",4,,"Dezhou Haishan Pharmaceutical Co., Ltd.",2,,"Tianjin Golett Electronics Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology transfer,3,,,,,commission payment,3
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Soufun Network Technology Co., Ltd.",20,,"Wuhan Handu Technology Co., Ltd.",2,,"Beijing Kuoda Building Decoration Engineering Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Soufun Network Technology Co., Ltd.",20,,Bank of China Beijing Branch,1,,"Beijing Yaguang Decoration Engineering Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Soufun Network Technology Co., Ltd.",20,,"Bitlink (Hong Kong) Co., Ltd.",2,,"Guangzhou OPPEIN Kitchen Cabinet Enterprise Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Soufun Network Technology Co., Ltd.",20,,Honeywell Process Industries,2,,"Beijing Longfa Building Decoration Engineering Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Jilin Xidian Pharmaceutical Technology Development Co., Ltd.",2,,Zhejiang Shaoxing County Rural Cooperative Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Hubei Guangji Pharmaceutical Co., Ltd.",2,,"Beijing Rongyitong Information Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology transfer,1,,,,0,0,1,1,,,,,Installment payment,1,,,,,"Beijing Cain Technology Co., Ltd.",24,,"Beijing Shuanglu Pharmaceutical Co., Ltd.",2,,"Tianjin Zhenxi Beauty Industrial Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology transfer,3,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Soufun Network Technology Co., Ltd.",20,,"Shanghai Pharmaceutical Co., Ltd.",2,,"Tianjin Hongze Ruixin Real Estate Development Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Soufun Network Technology Co., Ltd.",20,,"Beijing Qibaitong Technology Co., Ltd.",2,,"Nanjing Boken Enterprise Planning Consulting Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Dalian Tianyu Pharmaceutical Co., Ltd.",2,,Yunnan Rural Credit Cooperative Science and Technology Settlement Center,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
