amount,name of the buyer
4,"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd."
3,Nanyang Commercial Bank (China) Limited
26,"Guangdong Development Bank Co., Ltd."
1,Agricultural Bank of China Qingdao Branch
1,"Qingniu (Beijing) Technology Co., Ltd."
9,"Beijing Zhikong Meixin Information Technology Co., Ltd."
8,"China Construction Bank Co., Ltd. Fujian Branch"
4,"China Everbright Bank Co., Ltd."
3,Yunnan Federation of Rural Credit Cooperatives
2,City Commercial Bank Fund Clearing Center
2,"Bank of Communications Co., Ltd. Hong Kong Branch"
30,"Hua Xia Bank Co., Ltd."
15,"Bohai Bank Co., Ltd."
,"Beijing NavInfo Information Technology Co., Ltd."
74,China Construction Bank Corporation
74,China Construction Bank Corporation
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
3,Heilongjiang Federation of Rural Credit Cooperatives
4,"Tai Chi Computer Co., Ltd."
74,China Construction Bank Corporation
1,"Agricultural Bank of China Co., Ltd. Jiangsu Branch"
2,"Agricultural Bank of China Co., Ltd. Xinjiang Autonomous Region Branch"
6,"Nanchang Bank Co., Ltd."
6,"Bank of Quanzhou Co., Ltd."
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
7,"Changjiang Pension Insurance Co., Ltd."
13,Bank of China Limited
26,"Guangdong Development Bank Co., Ltd."
2,"Zhongke Yutu Tianxia Technology Co., Ltd."
9,"Beijing Zhikong Meixin Information Technology Co., Ltd."
10,"Bank of Ningbo Co., Ltd."
6,Changshu Rural Commercial Bank
4,"Qilu Bank Co., Ltd."
3,Hengfeng Bank
1,"Shanghai Yinxin Network Technology Development Co., Ltd."
1,"Leading Group for the Preparatory Work of Xianghe Yimin Rural Bank Co., Ltd."
1,Agricultural Bank of China Anhui Branch
15,"Bohai Bank Co., Ltd."
2,"Foshan Shunde Rural Commercial Bank Co., Ltd."
14,"Bank of Shanghai Co., Ltd."
4,"China Asset Management Co., Ltd."
1,"Agricultural Bank of China Co., Ltd. Guizhou Branch"
8,"China Construction Bank Co., Ltd. Liaoning Provincial Branch"
4,"China Construction Bank Co., Ltd. Hunan Branch"
74,China Construction Bank Corporation
5,"Bank of Tianjin Co., Ltd."
1,"Agricultural Bank of China Co., Ltd. Anhui Branch"
5,Shandong Federation of Rural Credit Cooperatives
3,Heilongjiang Federation of Rural Credit Cooperatives
2,"Shin Kong Life Insurance Co., Ltd. (in preparation)"
2,"Bank of Inner Mongolia Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
5,"Fudian Bank Co., Ltd."
1,"Wuhan Rural Commercial Bank Co., Ltd."
8,"China Construction Bank Co., Ltd. Liaoning Provincial Branch"
3,"Bank of China Co., Ltd. Hebei Branch"
10,Zhejiang Mintai Commercial Bank
3,"Chengdu Tianfu Overseas Chinese Town Industrial Development Co., Ltd."
3,"Chengdu Tianfu Overseas Chinese Town Industrial Development Co., Ltd."
3,"Zigong Commercial Bank Co., Ltd."
3,"Chengdu Tianfu Overseas Chinese Town Industrial Development Co., Ltd."
3,"Leshan Commercial Bank Co., Ltd."
1,"Semiconductor Manufacturing International Corporation (Beijing) Co., Ltd."
9,Shanghai Pudong Development Bank
26,"China CITIC Bank Co., Ltd."
14,Huishang Bank
26,"China CITIC Bank Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
15,"Bohai Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
6,"Chongqing Rural Commercial Bank Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
26,"Guangdong Development Bank Co., Ltd."
3,Foshan Nanhai District Rural Credit Cooperative Association
1,"Beijing Jertech Technology Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
6,"Bank of Chengdu Co., Ltd."
7,"Xinyang Commercial Bank Co., Ltd."
1,"China Construction Bank Co., Ltd. Hainan Branch"
2,City Commercial Bank Fund Clearing Center
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
13,Shanghai Rural Commercial Bank
5,Bank of Beijing
1,"Southern Fund Management Co., Ltd."
74,China Construction Bank Corporation
34,"Bank of Communications Co., Ltd."
34,"Bank of Communications Co., Ltd."
6,"Nanchang Bank Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
30,"Hua Xia Bank Co., Ltd."
1,"Bank of China Co., Ltd. Liaoning Provincial Branch"
34,"Bank of Communications Co., Ltd."
26,"China CITIC Bank Co., Ltd."
26,"China CITIC Bank Co., Ltd."
14,"Bank of Shanghai Co., Ltd."
13,Shenzhen Development Bank
7,"Xinyang Commercial Bank Co., Ltd."
4,"Yibin Commercial Bank Co., Ltd."
2,"Xiangtan Commercial Bank Co., Ltd."
1,"Beijing Anhua Century Real Estate Development Co., Ltd."
1,"Beijing Changying Oasis Holiday Sports Center Co., Ltd."
1,"Beijing Shougang Sunac Real Estate Co., Ltd."
1,"CITIC Trust Co., Ltd."
5,Bank of Tianjin
2,"Bank of Inner Mongolia Co., Ltd."
1,"China CITIC Bank Co., Ltd. Credit Card Center"
26,"China CITIC Bank Co., Ltd."
15,"Bohai Bank Co., Ltd."
1,Agricultural Bank of China Hunan Branch
26,"China CITIC Bank Co., Ltd."
1,"Beijing Tongruan Yonglian Technology Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
4,"Beijing BOCO Value-added Business Communications Co., Ltd."
4,"Qilu Bank Co., Ltd."
3,"Daqing Commercial Bank Co., Ltd."
1,"Gu'an Hengyi Software Technology Services Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
30,"Hua Xia Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
34,"Bank of Communications Co., Ltd."
34,"Bank of Communications Co., Ltd."
15,"Bohai Bank Co., Ltd."
3,"Baoshang Bank Co., Ltd."
1,Fushun Commercial Bank
74,China Construction Bank Corporation
30,"Hua Xia Bank Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
4,"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
1,"Shangqiu City Credit Union Co., Ltd."
1,"Beiyin Consumer Finance Co., Ltd."
10,Zhejiang Mintai Commercial Bank
8,China Everbright Bank
6,Jiangsu Rural Credit Cooperatives Association
2,"Great Wall Motors Co., Ltd."
1,"Shenzhen Gaoxiang Digital Technology Co., Ltd."
1,Liuzhou Commercial Bank
1,"Beijing Shoucai United E-Commerce Co., Ltd."
34,"Bank of Communications Co., Ltd."
6,Changshu Rural Commercial Bank
34,"Bank of Communications Co., Ltd."
8,"China Construction Bank Co., Ltd. Fujian Branch"
8,"China Construction Bank Co., Ltd. Liaoning Provincial Branch"
3,"Bank of Jiangsu Co., Ltd."
1,Nanchang Commercial Bank
1,Taizhou Commercial Bank
1,Agricultural Bank of China Shanxi Branch
5,"Nanchong Commercial Bank Co., Ltd."
74,China Construction Bank Corporation
13,Shenzhen Development Bank
15,"Bohai Bank Co., Ltd."
74,China Construction Bank Corporation
4,"Hangzhou Bank Co., Ltd."
2,"Zhuhai Commercial Bank Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
3,Shijiazhuang Commercial Bank
34,"Bank of Communications Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
1,"Agricultural Bank of China Co., Ltd. Hubei Provincial Branch"
2,"Beijing Tianxiatu Data Technology Co., Ltd."
2,"Beijing Tianxiatu Data Technology Co., Ltd."
15,"Bohai Bank Co., Ltd."
74,China Construction Bank Corporation
13,China Construction Bank Inner Mongolia Autonomous Region Branch
74,China Construction Bank Corporation
30,"Hua Xia Bank Co., Ltd."
14,"Bank of Shanghai Co., Ltd."
6,Bank of Dalian
4,"Jinshang Bank Co., Ltd."
2,"China Construction Bank Co., Ltd. Shanxi Branch"
1,"Jiangsu Taicang Rural Commercial Bank Co., Ltd."
9,Bank of East Asia (China) Limited
9,Bank of East Asia (China) Limited
26,"China CITIC Bank Co., Ltd."
15,"Bohai Bank Co., Ltd."
2,"Bank of Ningxia Co., Ltd."
2,"Jiaxing Commercial Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
6,Jiangsu Federation of Rural Credit Cooperatives
3,"China Construction Bank Co., Ltd. Qinghai Provincial Branch"
1,"Preparatory Group of Lee On Life Insurance Co., Ltd."
13,Shanghai Rural Commercial Bank
10,"Bank of Ningbo Co., Ltd."
1,Hebi City Commercial Bank
1,"Shandong Province Urban Commercial Bank Cooperation Alliance Co., Ltd."
4,"Sino-German Housing Savings Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
8,Credit Card Center of China Minsheng Banking Corporation
7,"Xinyang Commercial Bank Co., Ltd."
5,Shandong Federation of Rural Credit Cooperatives
3,"Shangqiu Commercial Bank Co., Ltd."
2,"Jiaozuo Commercial Bank Co., Ltd."
1,"Kaifeng Commercial Bank Co., Ltd."
2,"Xiamen Commercial Bank Co., Ltd."
74,China Construction Bank Corporation
26,"Guangdong Development Bank Co., Ltd."
74,China Construction Bank Corporation
74,China Construction Bank Corporation
7,"Guangxi Beibu Gulf Bank Co., Ltd."
3,"Zheshang Bank Co., Ltd."
1,"Beijing Yuxin Yicheng Information Technology Co., Ltd."
1,Zibo Commercial Bank
26,"China CITIC Bank Co., Ltd."
10,"Bank of China Limited, Macau Branch"
7,"Bank of Qinghai Co., Ltd."
74,China Construction Bank Corporation
74,China Construction Bank Corporation
74,China Construction Bank Corporation
1,"Suzhou Super Dimension Earth Science Research Development Co., Ltd."
26,"China CITIC Bank Co., Ltd."
14,"Bank of Shanghai Co., Ltd."
6,Jiangxi Federation of Rural Credit Cooperatives
2,"Beijing Youli United Technology Co., Ltd."
2,"Tianjin Binhai Rural Commercial Bank Co., Ltd."
2,"Beijing Rural Commercial Bank Co., Ltd."
1,"Beijing Yingchuang Xincheng Technology Co., Ltd."
74,China Construction Bank Corporation
74,China Construction Bank Corporation
74,China Construction Bank Corporation
15,"Bohai Bank Co., Ltd."
34,"Bank of Communications Co., Ltd."
26,"China CITIC Bank Co., Ltd."
3,Foshan Shunde District Rural Credit Cooperative
2,"Ganzhou Bank Co., Ltd."
1,Chongqing United Rural Credit Cooperatives
13,Shanghai Rural Commercial Bank
8,"China Construction Bank Co., Ltd. Fujian Branch"
1,"Bank of Kunlun Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
3,"Bank of Chongqing Co., Ltd."
2,"Anyang Commercial Bank Co., Ltd."
1,"Essence Securities Co., Ltd."
9,Shanghai Pudong Development Bank
26,"China CITIC Bank Co., Ltd."
9,"Beijing Zhikong Meixin Information Technology Co., Ltd."
6,Bank of Dalian
3,"Bank of Jiangsu Co., Ltd."
4,"Shenzhen Development Bank Co., Ltd."
2,"Zhuhai Commercial Bank Co., Ltd."
5,"Industrial Bank Co., Ltd."
4,"Sino-German Housing Savings Bank Co., Ltd."
34,"Bank of Communications Co., Ltd."
3,"Zhanjiang Commercial Bank Co., Ltd."
1,"Hohhot Commercial Bank Co., Ltd."
10,"Bank of China Limited, Macau Branch"
4,"Jinshang Bank Co., Ltd."
4,Taicang Rural Commercial Bank
3,Jinzhou Bank
1,Tianjin Rural Cooperative Bank
34,"Bank of Communications Co., Ltd."
1,"Zhengzhou Bank Co., Ltd."
1,"Tianjin Rural Commercial Bank Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
8,"China Construction Bank Co., Ltd. Fujian Branch"
7,"Bank of Qinghai Co., Ltd."
4,"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd."
2,"Great Wall Motors Co., Ltd."
1,"Shenzhen Banghua Electronics Co., Ltd."
1,"CAAC 4D (Beijing) Aeronautical Remote Sensing Technology Co., Ltd."
1,"Bank of Jiujiang Co., Ltd."
74,China Construction Bank Corporation
5,"Industrial Bank Co., Ltd."
3,Zhejiang Federation of Rural Credit Cooperatives
7,Guangxi Beibu Gulf Bank
10,Zhejiang Mintai Commercial Bank
1,"Shanghai Hekang Technology Development Industrial Co., Ltd."
1,Bank of Ningxia
1,"Jiangsu Xizhou Rural Commercial Bank Co., Ltd."
8,China Everbright Bank
5,"Nanchong Commercial Bank Co., Ltd."
4,"China Construction Bank Co., Ltd. Hunan Branch"
3,Hengfeng Bank
74,China Construction Bank Corporation
13,Shanghai Rural Commercial Bank
1,"Hunan Great Wall Medical Technology Co., Ltd."
2,"Jiaxing Commercial Bank Co., Ltd."
13,Shenzhen Development Bank
10,Zhejiang Mintai Commercial Bank
5,"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd."
7,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd."
5,Hunan Federation of Rural Credit Cooperatives
1,"Ordos Commercial Bank Co., Ltd."
1,"Sanya Huahao Real Estate Supermarket Co., Ltd."
34,"Bank of Communications Co., Ltd."
7,"Bank of Qinghai Co., Ltd."
1,Guangzhou Rural Credit Cooperatives Association
1,"Zhejiang Chouzhou Commercial Bank Co., Ltd."
1,Qinhuangdao Commercial Bank
34,"Bank of Communications Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
74,China Construction Bank Corporation
26,"China CITIC Bank Co., Ltd."
4,"Tai Chi Computer Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
34,"Bank of Communications Co., Ltd."
7,"Bank of Beijing Co., Ltd."
4,Kunshan Rural Commercial Bank
8,Ningbo Yinzhou Rural Cooperative Bank
6,"Bank of Chengdu Co., Ltd."
2,"Huishang Bank Co., Ltd."
8,"China Construction Bank Co., Ltd. Liaoning Provincial Branch"
5,"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd."
3,"Bank of Chongqing Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
74,China Construction Bank Corporation
1,"Hebei Bank Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
2,Dongguan Rural Credit Cooperatives Association
3,"Hankou Bank Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
74,China Construction Bank Corporation
3,"Zheshang Bank Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
1,"Chengdu Rural Commercial Bank Co., Ltd."
74,China Construction Bank Corporation
2,Jinhua Commercial Bank
8,Ningbo Yinzhou Rural Cooperative Bank
6,"Nanchang Bank Co., Ltd."
6,"Lanzhou Bank Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
14,Huishang Bank
5,"Harbin Bank Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
3,"Zheshang Bank Co., Ltd."
34,"Bank of Communications Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
6,"Chongqing Rural Commercial Bank Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
1,"Agricultural Bank of China Co., Ltd. Sichuan Branch"
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
8,Credit Card Center of China Minsheng Banking Corporation
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
1,"Langfang Bank Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
7,Zhejiang Tailong Commercial Bank
3,"Baoshang Bank Co., Ltd."
3,"Xinchen Technology Co., Ltd."
2,"Jiangsu Soochow Rural Commercial Bank Co., Ltd."
1,"Shenzhen Wanlong Communication Equipment Co., Ltd."
1,Huayi Bank
74,China Construction Bank Corporation
74,China Construction Bank Corporation
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
5,"Hebei Bank Co., Ltd."
1,"China Construction Bank Co., Ltd. Dalian Branch"
74,China Construction Bank Corporation
13,Shanghai Rural Commercial Bank
34,"Bank of Communications Co., Ltd."
5,"Fudian Bank Co., Ltd."
1,"Siwei Aeronautical Remote Sensing Co., Ltd."
74,China Construction Bank Corporation
1,Guangzhou Commercial Bank
74,China Construction Bank Corporation
34,"Bank of Communications Co., Ltd."
7,Guangxi Beibu Gulf Bank
26,"China CITIC Bank Co., Ltd."
3,Zhejiang Federation of Rural Credit Cooperatives
1,Agricultural Bank of China Jiangxi Branch
34,"Bank of Communications Co., Ltd."
5,Hunan Federation of Rural Credit Cooperatives
34,"Bank of Communications Co., Ltd."
74,China Construction Bank Corporation
6,"Chongqing Rural Commercial Bank Co., Ltd."
4,"Shenzhen Development Bank Co., Ltd."
74,China Construction Bank Corporation
26,"Guangdong Development Bank Co., Ltd."
5,Harbin Bank
10,"Bank of China Limited, Macau Branch"
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
5,Shandong Federation of Rural Credit Cooperatives
3,Yunnan Federation of Rural Credit Cooperatives
3,"Beijing Lianjia Real Estate Brokerage Co., Ltd."
8,China Everbright Bank
26,"China CITIC Bank Co., Ltd."
10,"Bank of Ningbo Co., Ltd."
34,"Bank of Communications Co., Ltd."
34,"Bank of Communications Co., Ltd."
2,"Bank of Dalian Co., Ltd."
74,China Construction Bank Corporation
74,China Construction Bank Corporation
4,Guangdong Federation of Rural Credit Cooperatives
26,"China CITIC Bank Co., Ltd."
1,"Jiangxi Changhe Automobile Co., Ltd."
3,Fujian Federation of Rural Credit Cooperatives
4,"China Everbright Bank Co., Ltd."
9,Bank of East Asia (China) Limited
1,"Beijing Boxintu Information Technology Co., Ltd."
13,Bank of China Limited
26,"China CITIC Bank Co., Ltd."
3,"Beijing Lianjia Real Estate Brokerage Co., Ltd."
3,Shijiazhuang Commercial Bank
3,Nanyang Commercial Bank (China) Limited
1,Guizhou Federation of Rural Credit Cooperatives
5,"Industrial Bank Co., Ltd."
9,Bank of East Asia (China) Limited
74,China Construction Bank Corporation
30,"Hua Xia Bank Co., Ltd."
4,"China Everbright Bank Co., Ltd."
2,"Dongguan Bank Co., Ltd."
1,Shanxi Rural Credit Cooperatives Federation Datong Office
3,"Beijing Lianzhong Computer Technology Co., Ltd."
3,Fujian Federation of Rural Credit Cooperatives
1,"Tianjin Tianqi Group Meiya Automobile Manufacturing Co., Ltd."
1,"Hainan Baodaotong Technology Co., Ltd."
74,China Construction Bank Corporation
1,"Beijing Oracle Software Trust Co., Ltd."
74,China Construction Bank Corporation
2,Anhui Federation of Rural Credit Cooperatives
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
3,Nanyang Commercial Bank (China) Limited
74,China Construction Bank Corporation
3,"Beijing Lianjia Real Estate Brokerage Co., Ltd."
1,"Fuzhou Commercial Bank Co., Ltd."
74,China Construction Bank Corporation
2,"Dongguan Bank Co., Ltd."
4,"Sino-German Housing Savings Bank Co., Ltd."
74,China Construction Bank Corporation
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
74,China Construction Bank Corporation
1,"Beijing Futong Oriental Technology Co., Ltd."
26,"China CITIC Bank Co., Ltd."
74,China Construction Bank Corporation
13,Bank of China Limited
1,"Tai'an Commercial Bank Co., Ltd."
10,"Bank of China Limited, Macau Branch"
74,China Construction Bank Corporation
2,"Beijing Rural Commercial Bank Co., Ltd."
1,Agricultural Bank of China Shandong Branch
74,China Construction Bank Corporation
8,Credit Card Center of China Minsheng Banking Corporation
15,"Bohai Bank Co., Ltd."
3,"Hankou Bank Co., Ltd."
1,Jinan Commercial Bank
74,China Construction Bank Corporation
1,"Shengjing Bank Co., Ltd."
5,Beijing Rural Commercial Bank
74,China Construction Bank Corporation
6,Jiangxi Federation of Rural Credit Cooperatives
1,China Construction Bank Corporation Xinjiang Uygur Autonomous Region Branch
34,"Bank of Communications Co., Ltd."
74,China Construction Bank Corporation
6,"Lanzhou Bank Co., Ltd."
1,"Bank of Beijing Co., Ltd."
1,"Beijing Duosi Technology Development Co., Ltd."
42,"Beijing Huasheng Tiancheng Technology Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
1,Pudong Development Bank
74,China Construction Bank Corporation
3,"Xinchen Technology Co., Ltd."
1,Zhangjiakou Commercial Bank
4,Guangdong Federation of Rural Credit Cooperatives
74,China Construction Bank Corporation
26,"China CITIC Bank Co., Ltd."
26,"China CITIC Bank Co., Ltd."
6,"Bank of Chengdu Co., Ltd."
74,China Construction Bank Corporation
1,Guangxi Zhuang Autonomous Region Rural Credit Cooperatives United Cooperative
4,Shenzhen Rural Commercial Bank
74,China Construction Bank Corporation
34,"Bank of Communications Co., Ltd."
3,"Beijing Lianzhong Computer Technology Co., Ltd."
3,Hengfeng Bank
7,"Bank of Qingdao Co., Ltd."
9,Shanghai Pudong Development Bank
9,Bank of East Asia (China) Limited
74,China Construction Bank Corporation
6,"Yuxin Data Technology Co., Ltd."
1,"Anhui Huaihua Group Co., Ltd."
9,Shanghai Pudong Development Bank
3,Quanzhou Commercial Bank
6,"Yuxin Data Technology Co., Ltd."
3,"Rural Credit Bank Capital Clearing Center Co., Ltd."
74,China Construction Bank Corporation
1,"Beijing I Love My Home Real Estate Brokerage Co., Ltd."
9,Bank of East Asia (China) Limited
9,Shanghai Pudong Development Bank
9,Shanghai Pudong Development Bank
26,"China CITIC Bank Co., Ltd."
34,"Bank of Communications Co., Ltd."
26,"China CITIC Bank Co., Ltd."
1,"Lenovo Wangyu Technology (Beijing) Co., Ltd."
8,China Everbright Bank
8,China Everbright Bank
1,"Beijing Yuxinhongtai Technology Development Co., Ltd."
8,China Everbright Bank
8,China Everbright Bank
13,Shenzhen Development Bank
1,"Beijing Huazheng Puhui Information Co., Ltd."
1,"ICBC Credit Suisse Fund Management Co., Ltd."
6,"Chongqing Rural Commercial Bank Co., Ltd."
74,China Construction Bank Corporation
3,Zhejiang Federation of Rural Credit Cooperatives
74,China Construction Bank Corporation
74,China Construction Bank Corporation
34,"Bank of Communications Co., Ltd."
3,"Beijing Lianzhong Computer Technology Co., Ltd."
3,Yunnan Federation of Rural Credit Cooperatives
34,"Bank of Communications Co., Ltd."
3,"Beijing Delphi Wanyuan Engine Management System Co., Ltd."
3,"Beijing Delphi Wanyuan Engine Management System Co., Ltd."
4,"China Everbright Bank Co., Ltd."
2,Shanxi Federation of Rural Credit Cooperatives
3,"Beijing Delphi Wanyuan Engine Management System Co., Ltd."
1,"Dazhou City Credit Union Co., Ltd."
1,"China Development Bank Co., Ltd."
2,"Shanghai Soufun Advertising Co., Ltd."
74,China Construction Bank Corporation
74,China Construction Bank Corporation
1,Agricultural Bank of China
26,"China CITIC Bank Co., Ltd."
74,China Construction Bank Corporation
26,"Guangdong Development Bank Co., Ltd."
74,China Construction Bank Corporation
74,China Construction Bank Corporation
74,China Construction Bank Corporation
1,"Jiangsu Linggu Chemical Co., Ltd."
1,"Ningxia Coal Industry Group Co., Ltd."
3,"Double Bridge Technologies, Inc."
4,Hinge Global Resources Inc.
19,Analogix International
19,Analogix International
19,Analogix International
19,Analogix International
19,Analogix International
19,Analogix International
19,Analogix International
19,Analogix International
19,Analogix International
19,Analogix International
19,Analogix International
1,Urban and Rural Planning Management Center of the Ministry of Housing and Urban-Rural Development
1,Ningxia Hui Autonomous Region Land and Resources Geographic Information Center
1,Tianjin Real Estate Market Management Office
1,Tianjin Real Estate Economic and Technical Information Center
1,"Tianyu Nengke (Beijing) Technology Co., Ltd."
2,Jiangsu Provincial Bureau of Surveying and Mapping
5,"Qin Gu (Shanghai) Information Consulting Co., Ltd."
5,"Qin Gu (Shanghai) Information Consulting Co., Ltd."
5,"Qin Gu (Shanghai) Information Consulting Co., Ltd."
5,"Qin Gu (Shanghai) Information Consulting Co., Ltd."
5,"Qin Gu (Shanghai) Information Consulting Co., Ltd."
3,"Beijing Shengfengming Information Technology Co., Ltd."
1,"Beijing Online Recruitment Consulting Co., Ltd."
1,"Shanghai Diecuishi Commercial Co., Ltd."
1,"Fortune Software (Beijing) Co., Ltd."
1,"Media Asia Education Technology (Beijing) Co., Ltd."
1,"Alibaba (China) Network Technology Co., Ltd."
1,"Beijing Weisu Technology Co., Ltd."
1,"Search Review Network (Shenzhen) Co., Ltd."
1,"Jebus Trading (Shanghai) Co., Ltd."
2,"Beijing Yinglichi Technology Co., Ltd."
9,"Beijing Baiyidakang Technology Co., Ltd."
9,"Beijing Baiyidakang Technology Co., Ltd."
9,"Beijing Baiyidakang Technology Co., Ltd."
9,"Beijing Baiyidakang Technology Co., Ltd."
9,"Beijing Baiyidakang Technology Co., Ltd."
2,"Beijing Yinglichi Technology Co., Ltd."
1,"Shanghai Shenyou Advertising Co., Ltd."
4,"Agilent Technologies (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
4,"Shibiyou Business Consulting (Shanghai) Co., Ltd."
4,"Shibiyou Business Consulting (Shanghai) Co., Ltd."
4,"Shibiyou Business Consulting (Shanghai) Co., Ltd."
3,"Taikanen (Beijing) E-Commerce Co., Ltd."
3,"Taikanen (Beijing) E-Commerce Co., Ltd."
3,"Taikanen (Beijing) E-Commerce Co., Ltd."
1,"360 Circle Information Technology (Beijing) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
9,"Beijing Baiyidakang Technology Co., Ltd."
9,"Beijing Baiyidakang Technology Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China Co., Ltd.)"
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
5,"Hanhai Information Technology (Shanghai) Co., Ltd."
1,"Guangdong Aha Media Services Co., Ltd."
4,"Agilent Technologies (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
5,"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch"
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
4,"NEC Excellence Software Technology (Beijing) Co., Ltd. Xi'an Branch"
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
47,"NEC Information Systems (China) Co., Ltd."
9,"Beijing Baiyidakang Technology Co., Ltd."
