name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,Turnover,money,installment,paystyle,payment method
Bank of East Asia (China) Limited,Shanghai,1,People's Republic of China (CN),1,1155000,1155000,1,1,Installment payment
Bank of East Asia (China) Limited,Shanghai,1,People's Republic of China (CN),1,1155000,1155000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1160000,1160000,1,1,Installment payment
"Bohai Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,1160000,1160000,1,1,Installment payment
"Bank of Ningxia Co., Ltd.",Ningxia Hui Autonomous Region,1,People's Republic of China (CN),1,1160000,1160000,1,1,Installment payment
"Jiaxing Commercial Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1680000,1176000,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1180000,1180000,1,1,Installment payment
Jiangsu Federation of Rural Credit Cooperatives,Jiangsu Province,1,People's Republic of China (CN),1,1180000,1180000,1,1,Installment payment
"China Construction Bank Co., Ltd. Qinghai Provincial Branch",Qinghai Province,1,People's Republic of China (CN),1,1180000,1180000,1,1,Installment payment
"Preparatory Group of Lee On Life Insurance Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1180000,1180000,1,1,Installment payment
Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,1185000,1185000,1,1,Installment payment
"Bank of Ningbo Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1188000,1188000,1,1,Installment payment
Hebi City Commercial Bank,Henan Province,1,People's Republic of China (CN),1,1190000,1190000,1,1,Installment payment
"Shandong Province Urban Commercial Bank Cooperation Alliance Co., Ltd.",Shandong Province,1,People's Republic of China (CN),1,1190000,1190000,1,1,Installment payment
"Sino-German Housing Savings Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,1192181,1192181,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
Credit Card Center of China Minsheng Banking Corporation,Beijing,1,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Xinyang Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
Shandong Federation of Rural Credit Cooperatives,Shandong Province,1,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Shangqiu Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Jiaozuo Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,1200000,1200000,1,1,Installment payment
"Kaifeng Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,1200000,1200000,0,2,One time payment
"Xiamen Commercial Bank Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,1205400,1205400,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1224000,1224000,1,1,Installment payment
"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1240000,1240000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1245000,1245000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1250000,1250000,1,1,Installment payment
"Guangxi Beibu Gulf Bank Co., Ltd.",Guangxi Zhuang Autonomous Region,1,People's Republic of China (CN),1,1250000,1250000,1,1,Installment payment
"Zheshang Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1250000,1250000,1,1,Installment payment
"Beijing Yuxin Yicheng Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,9500000,1250000,1,1,Installment payment
Zibo Commercial Bank,Shandong Province,1,People's Republic of China (CN),1,1250000,1250000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1260000,1260000,1,1,Installment payment
"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),1,1260083.52,1260083.52,1,1,Installment payment
"Bank of Qinghai Co., Ltd.",Qinghai Province,1,People's Republic of China (CN),1,1280000,1280000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1282800,1282800,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1285000,1285000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1290000,1290000,1,1,Installment payment
"Suzhou Super Dimension Earth Science Research Development Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,1291000,1291000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Bank of Shanghai Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
Jiangxi Federation of Rural Credit Cooperatives,Jiangxi Province,1,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Beijing Youli United Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Tianjin Binhai Rural Commercial Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Beijing Rural Commercial Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
"Beijing Yingchuang Xincheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1300000,1300000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1303905,1303905,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1329000,1329000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1331500,1331500,1,1,Installment payment
"Bohai Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,1341409.5,1341409.5,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1350000,1350000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1350000,1350000,1,1,Installment payment
Foshan Shunde District Rural Credit Cooperative,Guangdong Province,1,People's Republic of China (CN),1,1350000,1350000,1,1,Installment payment
"Ganzhou Bank Co., Ltd.",Jiangxi Province,1,People's Republic of China (CN),1,1350000,1350000,1,1,Installment payment
Chongqing United Rural Credit Cooperatives,Chongqing,1,People's Republic of China (CN),1,1350000,1350000,1,1,Installment payment
Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,1358000,1358000,1,1,Installment payment
"China Construction Bank Co., Ltd. Fujian Branch",Fujian Province,1,People's Republic of China (CN),1,1360000,1360000,1,1,Installment payment
"Bank of Kunlun Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1360000,1360000,1,1,Installment payment
"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1361250,1361250,1,1,Installment payment
"Bank of Chongqing Co., Ltd.",Chongqing,1,People's Republic of China (CN),1,1380000,1380000,1,1,Installment payment
"Anyang Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,1380000,1380000,1,1,Installment payment
"Essence Securities Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1380000,1380000,1,1,Installment payment
Shanghai Pudong Development Bank,Shanghai,1,People's Republic of China (CN),1,1388000,1388000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1400000,1400000,1,1,Installment payment
"Beijing Zhikong Meixin Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1400000,1400000,1,1,Installment payment
Bank of Dalian,Liaoning Province,1,People's Republic of China (CN),1,1400000,1400000,1,1,Installment payment
"Bank of Jiangsu Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1400000,1400000,1,1,Installment payment
"Shenzhen Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1404000,1404000,1,1,Installment payment
"Zhuhai Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1415759.5,1415759.5,1,1,Installment payment
"Industrial Bank Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,1416000,1416000,1,1,Installment payment
"Sino-German Housing Savings Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,1430000,1430000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1601000,1440900,1,1,Installment payment
"Zhanjiang Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1460000,1460000,1,1,Installment payment
"Hohhot Commercial Bank Co., Ltd.",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,1460000,1460000,1,1,Installment payment
"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),1,1461918,1461918,1,1,Installment payment
"Jinshang Bank Co., Ltd.",Shanxi Province,1,People's Republic of China (CN),1,1480000,1480000,1,1,Installment payment
Taicang Rural Commercial Bank,Jiangsu Province,1,People's Republic of China (CN),1,1480000,1480000,1,1,Installment payment
Jinzhou Bank,Liaoning Province,1,People's Republic of China (CN),1,1480000,1480000,1,1,Installment payment
Tianjin Rural Cooperative Bank,Tianjin City,1,People's Republic of China (CN),1,1480000,1480000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1480920,1480920,1,1,Installment payment
"Zhengzhou Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,1488000,1488000,1,1,Installment payment
"Tianjin Rural Commercial Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,1490000,1490000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"China Construction Bank Co., Ltd. Fujian Branch",Fujian Province,1,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Bank of Qinghai Co., Ltd.",Qinghai Province,1,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Great Wall Motors Co., Ltd.",Hebei Province,0,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
"Shenzhen Banghua Electronics Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1500000,1500000,1,3,commission payment
"CAAC 4D (Beijing) Aeronautical Remote Sensing Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1500000,1500000,0,2,One time payment
"Bank of Jiujiang Co., Ltd.",Jiangxi Province,1,People's Republic of China (CN),1,1500000,1500000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1512000,1512000,0,2,One time payment
"Industrial Bank Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,1530000,1530000,1,1,Installment payment
Zhejiang Federation of Rural Credit Cooperatives,Zhejiang Province,1,People's Republic of China (CN),1,1550000,1550000,1,1,Installment payment
Guangxi Beibu Gulf Bank,Guangxi Zhuang Autonomous Region,1,People's Republic of China (CN),1,1560000,1560000,1,1,Installment payment
Zhejiang Mintai Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,1580000,1580000,1,1,Installment payment
"Shanghai Hekang Technology Development Industrial Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1580000,1580000,1,1,Installment payment
Bank of Ningxia,Ningxia Hui Autonomous Region,1,People's Republic of China (CN),1,1580000,1580000,1,1,Installment payment
"Jiangsu Xizhou Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1590000,1590000,1,1,Installment payment
China Everbright Bank,Beijing,1,People's Republic of China (CN),1,1600000,1600000,1,1,Installment payment
"Nanchong Commercial Bank Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,1600000,1600000,1,1,Installment payment
"China Construction Bank Co., Ltd. Hunan Branch",Hunan Province,1,People's Republic of China (CN),1,1600000,1600000,1,1,Installment payment
Hengfeng Bank,Shandong Province,1,People's Republic of China (CN),1,1600000,1600000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1610903,1610903,1,1,Installment payment
Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,1620000,1620000,1,1,Installment payment
"Hunan Great Wall Medical Technology Co., Ltd.",Hunan Province,0,People's Republic of China (CN),1,1622478,1622478,1,1,Installment payment
"Jiaxing Commercial Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1630000,1630000,1,1,Installment payment
Shenzhen Development Bank,Guangdong Province,1,People's Republic of China (CN),1,1649000,1649000,1,1,Installment payment
Zhejiang Mintai Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,1660000,1660000,1,1,Installment payment
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1660000,1660000,1,1,Installment payment
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1665000,1665000,1,1,Installment payment
Hunan Federation of Rural Credit Cooperatives,Hunan Province,1,People's Republic of China (CN),1,1680000,1680000,1,1,Installment payment
"Ordos Commercial Bank Co., Ltd.",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,1680000,1680000,1,1,Installment payment
"Sanya Huahao Real Estate Supermarket Co., Ltd.",Hainan,0,People's Republic of China (CN),1,1685564,1685564,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1700000,1700000,1,1,Installment payment
"Bank of Qinghai Co., Ltd.",Qinghai Province,1,People's Republic of China (CN),1,1700000,1700000,1,1,Installment payment
Guangzhou Rural Credit Cooperatives Association,Guangdong Province,1,People's Republic of China (CN),1,1700000,1700000,1,1,Installment payment
"Zhejiang Chouzhou Commercial Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1700000,1700000,1,1,Installment payment
Qinhuangdao Commercial Bank,Hebei Province,1,People's Republic of China (CN),1,1700000,1700000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1716000,1716000,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1725000,1725000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1731000,1731000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1750000,1750000,1,1,Installment payment
"Tai Chi Computer Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1752500,1752500,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1752807.81,1752807.81,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1760000,1760000,1,1,Installment payment
"Bank of Beijing Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1760000,1760000,1,1,Installment payment
Kunshan Rural Commercial Bank,Jiangsu Province,1,People's Republic of China (CN),1,1765000,1765000,1,1,Installment payment
Ningbo Yinzhou Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,1780000,1780000,1,1,Installment payment
"Bank of Chengdu Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,1780000,1780000,1,1,Installment payment
"Huishang Bank Co., Ltd.",Anhui Province,1,People's Republic of China (CN),1,1780000,1780000,1,1,Installment payment
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",Liaoning Province,1,People's Republic of China (CN),1,1790000,1790000,1,1,Installment payment
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1790000,1790000,1,1,Installment payment
"Bank of Chongqing Co., Ltd.",Chongqing,1,People's Republic of China (CN),1,1790000,1790000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1792709.94,1792709.94,0,2,One time payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1800000,1800000,1,1,Installment payment
"Hebei Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,1800000,1800000,1,1,Installment payment
"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1816300,1816300,1,1,Installment payment
Dongguan Rural Credit Cooperatives Association,Guangdong Province,1,People's Republic of China (CN),1,2018000,1818000,1,1,Installment payment
"Hankou Bank Co., Ltd.",hubei province,1,People's Republic of China (CN),1,1820000,1820000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1821646,1821646,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1824000,1824000,1,1,Installment payment
"Zheshang Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1826600,1826600,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1830000,1830000,1,1,Installment payment
"Chengdu Rural Commercial Bank Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,1830000,1830000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,1831000,1831000,1,1,Installment payment
Jinhua Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,1850000,1850000,1,1,Installment payment
Ningbo Yinzhou Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,1864000,1864000,1,1,Installment payment
"Nanchang Bank Co., Ltd.",Jiangxi Province,1,People's Republic of China (CN),1,1880000,1880000,1,1,Installment payment
"Lanzhou Bank Co., Ltd.",Gansu province,1,People's Republic of China (CN),1,1880000,1880000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1900000,1900000,1,1,Installment payment
Huishang Bank,Anhui Province,1,People's Republic of China (CN),1,1900000,1900000,1,1,Installment payment
"Harbin Bank Co., Ltd.",Heilongjiang Province,1,People's Republic of China (CN),1,1900000,1900000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1904718,1904718,1,1,Installment payment
"Zheshang Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1906000,1906000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1906500,1906500,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1911787.18,1911787.18,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1920000,1920000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1927760,1927760,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1931110,1931110,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1936000,1936000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1938500,1938500,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1946147.18,1946147.18,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1950000,1950000,1,1,Installment payment
"Chongqing Rural Commercial Bank Co., Ltd.",Chongqing,1,People's Republic of China (CN),1,1950000,1950000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1965800,1965800,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1965907,1965907,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1969262.88,1969262.88,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1970000,1970000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1973022.37,1973022.37,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1973022.37,1973022.37,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1974392.28,1974392.28,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1975450,1975450,1,1,Installment payment
"Agricultural Bank of China Co., Ltd. Sichuan Branch",Sichuan Province,1,People's Republic of China (CN),1,1977842.2,1977842.2,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1980000,1980000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1980000,1980000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1980000,1980000,1,1,Installment payment
Credit Card Center of China Minsheng Banking Corporation,Beijing,1,People's Republic of China (CN),1,1980000,1980000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1980485,1980485,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1981000,1981000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1982403.05,1982403.05,1,1,Installment payment
"Langfang Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,1984000,1984000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1985000,1985000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1986888.96,1986888.96,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1987750,1987750,1,1,Installment payment
"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1988875,1988875,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1990260,1990260,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1993230,1993230,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1999394.27,1999394.27,1,1,Installment payment
Zhejiang Tailong Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"Baoshang Bank Co., Ltd.",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"Xinchen Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"Jiangsu Soochow Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
"Shenzhen Wanlong Communication Equipment Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,2000000,2000000,1,3,commission payment
Huayi Bank,Shanghai,1,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2011000,2011000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2038000,2038000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2053897.02,2053897.02,0,2,One time payment
"Hebei Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,2075000,2075000,1,1,Installment payment
"China Construction Bank Co., Ltd. Dalian Branch",Liaoning Province,1,People's Republic of China (CN),1,2117500,2117500,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2120000,2120000,1,1,Installment payment
Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,2138100,2138100,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,2145000,2145000,1,1,Installment payment
"Fudian Bank Co., Ltd.",Yunnan Province,1,People's Republic of China (CN),1,2150000,2150000,1,1,Installment payment
"Siwei Aeronautical Remote Sensing Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2150000,2150000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2150500,2150500,1,1,Installment payment
Guangzhou Commercial Bank,Guangdong Province,1,People's Republic of China (CN),1,2160000,2160000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2163500,2163500,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,2200000,2200000,1,1,Installment payment
Guangxi Beibu Gulf Bank,Guangxi Zhuang Autonomous Region,1,People's Republic of China (CN),1,2200000,2200000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,2220000,2220000,1,1,Installment payment
Zhejiang Federation of Rural Credit Cooperatives,Zhejiang Province,1,People's Republic of China (CN),1,2220000,2220000,1,1,Installment payment
Agricultural Bank of China Jiangxi Branch,Jiangxi Province,1,People's Republic of China (CN),1,2239972.77,2239972.77,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,2300000,2300000,1,1,Installment payment
Hunan Federation of Rural Credit Cooperatives,Hunan Province,1,People's Republic of China (CN),1,2300000,2300000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,2329000,2329000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2335000,2335000,1,1,Installment payment
"Chongqing Rural Commercial Bank Co., Ltd.",Chongqing,1,People's Republic of China (CN),1,2360000,2360000,1,1,Installment payment
"Shenzhen Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,2381400,2381400,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2400000,2400000,1,1,Installment payment
"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,2400000,2400000,1,1,Installment payment
Harbin Bank,Heilongjiang Province,1,People's Republic of China (CN),1,2420000,2420000,1,1,Installment payment
"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),1,2466800,2466800,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2478401.78,2478401.78,1,1,Installment payment
Shandong Federation of Rural Credit Cooperatives,Shandong Province,1,People's Republic of China (CN),1,2480000,2480000,1,1,Installment payment
Yunnan Federation of Rural Credit Cooperatives,Yunnan Province,1,People's Republic of China (CN),1,2480000,2480000,1,1,Installment payment
"Beijing Lianjia Real Estate Brokerage Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2492160,2492160,1,1,Installment payment
China Everbright Bank,Beijing,1,People's Republic of China (CN),1,2500000,2500000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,2501000,2501000,1,1,Installment payment
