time,amount,internalization,outsourcing,if the sitting date time after 2006,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
387d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1300000,1300000,1,1,Installment payment,no,no,no
365d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1300000,1300000,1,1,Installment payment,no,no,no
496d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1300000,1300000,1,1,Installment payment,no,no,no
879d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1300000,1300000,1,1,Installment payment,no,no,no
486d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,other,1300000,1300000,1,1,Installment payment,no,no,no
421d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1303905,1303905,1,1,Installment payment,no,no,no
456d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1329000,1329000,1,1,Installment payment,no,no,no
463d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1331500,1331500,1,1,Installment payment,no,no,no
771d,15,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1341409.5,1341409.5,1,1,Installment payment,no,no,no
364d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1350000,1350000,1,1,Installment payment,no,no,no
553d,26,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1350000,1350000,1,1,Installment payment,no,no,no
221d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1350000,1350000,1,1,Installment payment,no,no,no
1096d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1350000,1350000,1,1,Installment payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1350000,1350000,1,1,Installment payment,no,no,no
132d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1358000,1358000,1,1,Installment payment,no,no,no
1094d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1360000,1360000,1,1,Installment payment,no,no,no
538d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1360000,1360000,1,1,Installment payment,no,no,no
263d,26,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1361250,1361250,1,1,Installment payment,no,no,no
212d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1380000,1380000,1,1,Installment payment,no,no,no
1146d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1380000,1380000,1,1,Installment payment,no,no,no
546d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1380000,1380000,1,1,Installment payment,no,no,no
632d,9,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1388000,1388000,1,1,Installment payment,no,no,no
548d,26,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1400000,1400000,1,1,Installment payment,no,no,no
599d,9,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1400000,1400000,1,1,Installment payment,no,no,no
212d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1400000,1400000,1,1,Installment payment,no,no,no
425d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1400000,1400000,1,1,Installment payment,no,no,no
244d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1404000,1404000,1,1,Installment payment,no,no,no
1217d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1415759.5,1415759.5,1,1,Installment payment,no,no,no
365d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1416000,1416000,1,1,Installment payment,no,no,no
395d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1430000,1430000,1,1,Installment payment,no,no,no
365d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1601000,1440900,1,1,Installment payment,no,no,no
364d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1460000,1460000,1,1,Installment payment,no,no,no
142d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1460000,1460000,1,1,Installment payment,no,no,no
406d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1461918,1461918,1,1,Installment payment,no,no,no
153d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1480000,1480000,1,1,Installment payment,no,no,no
801d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1480000,1480000,1,1,Installment payment,no,no,no
199d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1480000,1480000,1,1,Installment payment,no,no,no
183d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1480000,1480000,1,1,Installment payment,no,no,no
729d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1480920,1480920,1,1,Installment payment,no,no,no
639d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1488000,1488000,1,1,Installment payment,no,no,no
421d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1490000,1490000,1,1,Installment payment,no,no,no
497d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1500000,1500000,1,1,Installment payment,no,no,no
549d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1500000,1500000,1,1,Installment payment,no,no,no
521d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1500000,1500000,1,1,Installment payment,no,no,no
455d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1500000,1500000,1,1,Installment payment,no,no,no
413d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,0,Automation machinery and equipment technology,0,1,0,3,technical secrets,1,0,0,2,cooperative development,social development and social services,1500000,1500000,1,1,Installment payment,no,no,no
730d,1,0,1,0,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,technical secrets,0,0,1,3,Transfer of technical secrets,Promote industrial development,1500000,1500000,1,3,commission payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,1500000,1500000,0,2,One time payment,no,no,no
638d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1500000,1500000,1,1,Installment payment,no,no,no
365d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1512000,1512000,0,2,One time payment,no,no,no
44d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1530000,1530000,1,1,Installment payment,no,no,no
364d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1550000,1550000,1,1,Installment payment,no,no,no
484d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1560000,1560000,1,1,Installment payment,no,no,no
637d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1580000,1580000,1,1,Installment payment,no,no,no
730d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1580000,1580000,1,1,Installment payment,no,no,no
172d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1580000,1580000,1,1,Installment payment,no,no,no
366d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1590000,1590000,1,1,Installment payment,no,no,no
181d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1600000,1600000,1,1,Installment payment,no,no,no
441d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1600000,1600000,1,1,Installment payment,no,no,no
365d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1600000,1600000,1,1,Installment payment,no,no,no
576d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1600000,1600000,1,1,Installment payment,no,no,no
547d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1610903,1610903,1,1,Installment payment,no,no,no
364d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,1620000,1620000,1,1,Installment payment,no,no,no
360d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,New medical device technology,1,0,0,2,computer software,1,0,0,2,Commissioned development,other,1622478,1622478,1,1,Installment payment,no,no,no
211d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1630000,1630000,1,1,Installment payment,no,no,no
365d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1649000,1649000,1,1,Installment payment,no,no,no
507d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1660000,1660000,1,1,Installment payment,no,no,no
1272d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1660000,1660000,1,1,Installment payment,no,no,no
102d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1665000,1665000,1,1,Installment payment,no,no,no
1095d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1680000,1680000,1,1,Installment payment,no,no,no
151d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1680000,1680000,1,1,Installment payment,no,no,no
731d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,1685564,1685564,1,1,Installment payment,no,no,no
486d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1700000,1700000,1,1,Installment payment,no,no,no
521d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1700000,1700000,1,1,Installment payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1700000,1700000,1,1,Installment payment,no,no,no
1095d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1700000,1700000,1,1,Installment payment,no,no,no
568d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1700000,1700000,1,1,Installment payment,no,no,no
364d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1716000,1716000,1,1,Installment payment,no,no,no
195d,30,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1725000,1725000,1,1,Installment payment,no,no,no
607d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1731000,1731000,1,1,Installment payment,no,no,no
617d,26,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1750000,1750000,1,1,Installment payment,no,no,no
113d,4,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1752500,1752500,1,1,Installment payment,no,no,no
1064d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1752807.81,1752807.81,1,1,Installment payment,no,no,no
790d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1760000,1760000,1,1,Installment payment,no,no,no
531d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1760000,1760000,1,1,Installment payment,no,no,no
229d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1765000,1765000,1,1,Installment payment,no,no,no
528d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1780000,1780000,1,1,Installment payment,no,no,no
123d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1780000,1780000,1,1,Installment payment,no,no,no
365d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1780000,1780000,1,1,Installment payment,no,no,no
1095d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1790000,1790000,1,1,Installment payment,no,no,no
488d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1790000,1790000,1,1,Installment payment,no,no,no
227d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1790000,1790000,1,1,Installment payment,no,no,no
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1792709.94,1792709.94,0,2,One time payment,no,no,no
365d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1800000,1800000,1,1,Installment payment,no,no,no
473d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1800000,1800000,1,1,Installment payment,no,no,no
753d,26,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1816300,1816300,1,1,Installment payment,no,no,no
459d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2018000,1818000,1,1,Installment payment,no,no,no
82d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1820000,1820000,1,1,Installment payment,no,no,no
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1821646,1821646,1,1,Installment payment,no,no,no
365d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1824000,1824000,1,1,Installment payment,no,no,no
729d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1826600,1826600,1,1,Installment payment,no,no,no
729d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1830000,1830000,1,1,Installment payment,no,no,no
543d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1830000,1830000,1,1,Installment payment,no,no,no
669d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1831000,1831000,1,1,Installment payment,no,no,no
430d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1850000,1850000,1,1,Installment payment,no,no,no
550d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1864000,1864000,1,1,Installment payment,no,no,no
977d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1880000,1880000,1,1,Installment payment,no,no,no
1187d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1880000,1880000,1,1,Installment payment,no,no,no
364d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1900000,1900000,1,1,Installment payment,no,no,no
147d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1900000,1900000,1,1,Installment payment,no,no,no
621d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1900000,1900000,1,1,Installment payment,no,no,no
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1904718,1904718,1,1,Installment payment,no,no,no
731d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1906000,1906000,1,1,Installment payment,no,no,no
365d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1906500,1906500,1,1,Installment payment,no,no,no
729d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1911787.18,1911787.18,1,1,Installment payment,no,no,no
729d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1920000,1920000,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1927760,1927760,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1931110,1931110,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1936000,1936000,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1938500,1938500,1,1,Installment payment,no,no,no
1094d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1946147.18,1946147.18,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,technology development,social development and social services,1950000,1950000,1,1,Installment payment,no,no,no
945d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1950000,1950000,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1965800,1965800,1,1,Installment payment,no,no,no
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1965907,1965907,1,1,Installment payment,no,no,no
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1969262.88,1969262.88,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1970000,1970000,1,1,Installment payment,no,no,no
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1973022.37,1973022.37,1,1,Installment payment,no,no,no
