name of the buyer,paystyle
"China Everbright Bank Co., Ltd.",1
Yunnan Federation of Rural Credit Cooperatives,1
City Commercial Bank Fund Clearing Center,1
"Bank of Communications Co., Ltd. Hong Kong Branch",1
"Hua Xia Bank Co., Ltd.",1
"Bohai Bank Co., Ltd.",1
"Beijing NavInfo Information Technology Co., Ltd.",2
China Construction Bank Corporation,1
China Construction Bank Corporation,1
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
Heilongjiang Federation of Rural Credit Cooperatives,1
"Tai Chi Computer Co., Ltd.",1
China Construction Bank Corporation,1
"Agricultural Bank of China Co., Ltd. Jiangsu Branch",1
"Agricultural Bank of China Co., Ltd. Xinjiang Autonomous Region Branch",1
"Nanchang Bank Co., Ltd.",1
"Bank of Quanzhou Co., Ltd.",1
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
"Changjiang Pension Insurance Co., Ltd.",1
Bank of China Limited,1
"Guangdong Development Bank Co., Ltd.",1
"Zhongke Yutu Tianxia Technology Co., Ltd.",1
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
"Bank of Ningbo Co., Ltd.",1
Changshu Rural Commercial Bank,1
"Qilu Bank Co., Ltd.",1
Hengfeng Bank,1
"Shanghai Yinxin Network Technology Development Co., Ltd.",1
"Leading Group for the Preparatory Work of Xianghe Yimin Rural Bank Co., Ltd.",1
Agricultural Bank of China Anhui Branch,1
"Bohai Bank Co., Ltd.",1
"Foshan Shunde Rural Commercial Bank Co., Ltd.",1
"Bank of Shanghai Co., Ltd.",1
"China Asset Management Co., Ltd.",1
"Agricultural Bank of China Co., Ltd. Guizhou Branch",1
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",1
"China Construction Bank Co., Ltd. Hunan Branch",1
China Construction Bank Corporation,1
"Bank of Tianjin Co., Ltd.",1
"Agricultural Bank of China Co., Ltd. Anhui Branch",1
Shandong Federation of Rural Credit Cooperatives,1
Heilongjiang Federation of Rural Credit Cooperatives,1
"Shin Kong Life Insurance Co., Ltd. (in preparation)",1
"Bank of Inner Mongolia Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Fudian Bank Co., Ltd.",1
"Wuhan Rural Commercial Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",1
"Bank of China Co., Ltd. Hebei Branch",1
Zhejiang Mintai Commercial Bank,1
"Chengdu Tianfu Overseas Chinese Town Industrial Development Co., Ltd.",1
"Chengdu Tianfu Overseas Chinese Town Industrial Development Co., Ltd.",2
"Zigong Commercial Bank Co., Ltd.",1
"Chengdu Tianfu Overseas Chinese Town Industrial Development Co., Ltd.",1
"Leshan Commercial Bank Co., Ltd.",1
"Semiconductor Manufacturing International Corporation (Beijing) Co., Ltd.",1
Shanghai Pudong Development Bank,1
"China CITIC Bank Co., Ltd.",1
Huishang Bank,1
"China CITIC Bank Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
"Bohai Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
"Chongqing Rural Commercial Bank Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
"Guangdong Development Bank Co., Ltd.",1
Foshan Nanhai District Rural Credit Cooperative Association,1
"Beijing Jertech Technology Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
"Bank of Chengdu Co., Ltd.",1
"Xinyang Commercial Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Hainan Branch",1
City Commercial Bank Fund Clearing Center,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Shanghai Rural Commercial Bank,1
Bank of Beijing,1
"Southern Fund Management Co., Ltd.",1
China Construction Bank Corporation,1
"Bank of Communications Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Nanchang Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Hua Xia Bank Co., Ltd.",1
"Bank of China Co., Ltd. Liaoning Provincial Branch",1
"Bank of Communications Co., Ltd.",1
"China CITIC Bank Co., Ltd.",1
"China CITIC Bank Co., Ltd.",1
"Bank of Shanghai Co., Ltd.",1
Shenzhen Development Bank,1
"Xinyang Commercial Bank Co., Ltd.",1
"Yibin Commercial Bank Co., Ltd.",1
"Xiangtan Commercial Bank Co., Ltd.",1
"Beijing Anhua Century Real Estate Development Co., Ltd.",1
"Beijing Changying Oasis Holiday Sports Center Co., Ltd.",1
"Beijing Shougang Sunac Real Estate Co., Ltd.",1
"CITIC Trust Co., Ltd.",1
Bank of Tianjin,1
"Bank of Inner Mongolia Co., Ltd.",1
"China CITIC Bank Co., Ltd. Credit Card Center",1
"China CITIC Bank Co., Ltd.",1
"Bohai Bank Co., Ltd.",1
Agricultural Bank of China Hunan Branch,1
"China CITIC Bank Co., Ltd.",1
"Beijing Tongruan Yonglian Technology Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
"Beijing BOCO Value-added Business Communications Co., Ltd.",2
"Qilu Bank Co., Ltd.",1
"Daqing Commercial Bank Co., Ltd.",1
"Gu'an Hengyi Software Technology Services Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Hua Xia Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Bohai Bank Co., Ltd.",1
"Baoshang Bank Co., Ltd.",1
Fushun Commercial Bank,1
China Construction Bank Corporation,1
"Hua Xia Bank Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Shangqiu City Credit Union Co., Ltd.",1
"Beiyin Consumer Finance Co., Ltd.",1
Zhejiang Mintai Commercial Bank,1
China Everbright Bank,1
Jiangsu Rural Credit Cooperatives Association,1
"Great Wall Motors Co., Ltd.",1
"Shenzhen Gaoxiang Digital Technology Co., Ltd.",3
Liuzhou Commercial Bank,1
"Beijing Shoucai United E-Commerce Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
Changshu Rural Commercial Bank,1
"Bank of Communications Co., Ltd.",1
"China Construction Bank Co., Ltd. Fujian Branch",1
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",1
"Bank of Jiangsu Co., Ltd.",1
Nanchang Commercial Bank,1
Taizhou Commercial Bank,1
Agricultural Bank of China Shanxi Branch,1
"Nanchong Commercial Bank Co., Ltd.",1
China Construction Bank Corporation,1
Shenzhen Development Bank,1
"Bohai Bank Co., Ltd.",1
China Construction Bank Corporation,1
"Hangzhou Bank Co., Ltd.",1
"Zhuhai Commercial Bank Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",2
Shijiazhuang Commercial Bank,1
"Bank of Communications Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Agricultural Bank of China Co., Ltd. Hubei Provincial Branch",1
"Beijing Tianxiatu Data Technology Co., Ltd.",1
"Beijing Tianxiatu Data Technology Co., Ltd.",1
"Bohai Bank Co., Ltd.",1
China Construction Bank Corporation,1
China Construction Bank Inner Mongolia Autonomous Region Branch,1
China Construction Bank Corporation,2
"Hua Xia Bank Co., Ltd.",1
"Bank of Shanghai Co., Ltd.",1
Bank of Dalian,1
"Jinshang Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Shanxi Branch",1
"Jiangsu Taicang Rural Commercial Bank Co., Ltd.",1
Bank of East Asia (China) Limited,1
Bank of East Asia (China) Limited,1
"China CITIC Bank Co., Ltd.",1
"Bohai Bank Co., Ltd.",1
"Bank of Ningxia Co., Ltd.",1
"Jiaxing Commercial Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
Jiangsu Federation of Rural Credit Cooperatives,1
"China Construction Bank Co., Ltd. Qinghai Provincial Branch",1
"Preparatory Group of Lee On Life Insurance Co., Ltd.",1
Shanghai Rural Commercial Bank,1
"Bank of Ningbo Co., Ltd.",1
Hebi City Commercial Bank,1
"Shandong Province Urban Commercial Bank Cooperation Alliance Co., Ltd.",1
"Sino-German Housing Savings Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
Credit Card Center of China Minsheng Banking Corporation,1
"Xinyang Commercial Bank Co., Ltd.",1
Shandong Federation of Rural Credit Cooperatives,1
"Shangqiu Commercial Bank Co., Ltd.",1
"Jiaozuo Commercial Bank Co., Ltd.",1
"Kaifeng Commercial Bank Co., Ltd.",2
"Xiamen Commercial Bank Co., Ltd.",1
China Construction Bank Corporation,1
"Guangdong Development Bank Co., Ltd.",1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
"Guangxi Beibu Gulf Bank Co., Ltd.",1
"Zheshang Bank Co., Ltd.",1
"Beijing Yuxin Yicheng Information Technology Co., Ltd.",1
Zibo Commercial Bank,1
"China CITIC Bank Co., Ltd.",1
"Bank of China Limited, Macau Branch",1
"Bank of Qinghai Co., Ltd.",1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
"Suzhou Super Dimension Earth Science Research Development Co., Ltd.",1
"China CITIC Bank Co., Ltd.",1
"Bank of Shanghai Co., Ltd.",1
Jiangxi Federation of Rural Credit Cooperatives,1
"Beijing Youli United Technology Co., Ltd.",1
"Tianjin Binhai Rural Commercial Bank Co., Ltd.",1
"Beijing Rural Commercial Bank Co., Ltd.",1
"Beijing Yingchuang Xincheng Technology Co., Ltd.",1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
"Bohai Bank Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"China CITIC Bank Co., Ltd.",1
Foshan Shunde District Rural Credit Cooperative,1
"Ganzhou Bank Co., Ltd.",1
Chongqing United Rural Credit Cooperatives,1
Shanghai Rural Commercial Bank,1
"China Construction Bank Co., Ltd. Fujian Branch",1
"Bank of Kunlun Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
"Bank of Chongqing Co., Ltd.",1
"Anyang Commercial Bank Co., Ltd.",1
"Essence Securities Co., Ltd.",1
Shanghai Pudong Development Bank,1
"China CITIC Bank Co., Ltd.",1
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
Bank of Dalian,1
"Bank of Jiangsu Co., Ltd.",1
"Shenzhen Development Bank Co., Ltd.",1
"Zhuhai Commercial Bank Co., Ltd.",1
"Industrial Bank Co., Ltd.",1
"Sino-German Housing Savings Bank Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Zhanjiang Commercial Bank Co., Ltd.",1
"Hohhot Commercial Bank Co., Ltd.",1
"Bank of China Limited, Macau Branch",1
"Jinshang Bank Co., Ltd.",1
Taicang Rural Commercial Bank,1
Jinzhou Bank,1
Tianjin Rural Cooperative Bank,1
"Bank of Communications Co., Ltd.",1
"Zhengzhou Bank Co., Ltd.",1
"Tianjin Rural Commercial Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Fujian Branch",1
"Bank of Qinghai Co., Ltd.",1
"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd.",1
"Great Wall Motors Co., Ltd.",1
"Shenzhen Banghua Electronics Co., Ltd.",3
"CAAC 4D (Beijing) Aeronautical Remote Sensing Technology Co., Ltd.",2
"Bank of Jiujiang Co., Ltd.",1
China Construction Bank Corporation,2
"Industrial Bank Co., Ltd.",1
Zhejiang Federation of Rural Credit Cooperatives,1
Guangxi Beibu Gulf Bank,1
Zhejiang Mintai Commercial Bank,1
"Shanghai Hekang Technology Development Industrial Co., Ltd.",1
Bank of Ningxia,1
"Jiangsu Xizhou Rural Commercial Bank Co., Ltd.",1
China Everbright Bank,1
"Nanchong Commercial Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Hunan Branch",1
Hengfeng Bank,1
China Construction Bank Corporation,1
Shanghai Rural Commercial Bank,1
"Hunan Great Wall Medical Technology Co., Ltd.",1
"Jiaxing Commercial Bank Co., Ltd.",1
Shenzhen Development Bank,1
Zhejiang Mintai Commercial Bank,1
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",1
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",1
Hunan Federation of Rural Credit Cooperatives,1
"Ordos Commercial Bank Co., Ltd.",1
"Sanya Huahao Real Estate Supermarket Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Bank of Qinghai Co., Ltd.",1
Guangzhou Rural Credit Cooperatives Association,1
"Zhejiang Chouzhou Commercial Bank Co., Ltd.",1
Qinhuangdao Commercial Bank,1
"Bank of Communications Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
China Construction Bank Corporation,1
"China CITIC Bank Co., Ltd.",1
"Tai Chi Computer Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Bank of Beijing Co., Ltd.",1
Kunshan Rural Commercial Bank,1
Ningbo Yinzhou Rural Cooperative Bank,1
"Bank of Chengdu Co., Ltd.",1
"Huishang Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",1
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",1
"Bank of Chongqing Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",2
China Construction Bank Corporation,1
"Hebei Bank Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
Dongguan Rural Credit Cooperatives Association,1
"Hankou Bank Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
China Construction Bank Corporation,1
"Zheshang Bank Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Chengdu Rural Commercial Bank Co., Ltd.",1
China Construction Bank Corporation,1
Jinhua Commercial Bank,1
Ningbo Yinzhou Rural Cooperative Bank,1
"Nanchang Bank Co., Ltd.",1
"Lanzhou Bank Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
Huishang Bank,1
"Harbin Bank Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Zheshang Bank Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Chongqing Rural Commercial Bank Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Agricultural Bank of China Co., Ltd. Sichuan Branch",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
Credit Card Center of China Minsheng Banking Corporation,1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Langfang Bank Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Guangdong Development Bank Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
Zhejiang Tailong Commercial Bank,1
"Baoshang Bank Co., Ltd.",1
"Xinchen Technology Co., Ltd.",1
"Jiangsu Soochow Rural Commercial Bank Co., Ltd.",1
"Shenzhen Wanlong Communication Equipment Co., Ltd.",3
Huayi Bank,1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",2
"Hebei Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Dalian Branch",1
China Construction Bank Corporation,1
Shanghai Rural Commercial Bank,1
"Bank of Communications Co., Ltd.",1
"Fudian Bank Co., Ltd.",1
"Siwei Aeronautical Remote Sensing Co., Ltd.",1
China Construction Bank Corporation,1
Guangzhou Commercial Bank,1
China Construction Bank Corporation,1
"Bank of Communications Co., Ltd.",1
Guangxi Beibu Gulf Bank,1
"China CITIC Bank Co., Ltd.",1
Zhejiang Federation of Rural Credit Cooperatives,1
Agricultural Bank of China Jiangxi Branch,1
"Bank of Communications Co., Ltd.",1
Hunan Federation of Rural Credit Cooperatives,1
"Bank of Communications Co., Ltd.",1
China Construction Bank Corporation,1
"Chongqing Rural Commercial Bank Co., Ltd.",1
"Shenzhen Development Bank Co., Ltd.",1
China Construction Bank Corporation,1
"Guangdong Development Bank Co., Ltd.",1
Harbin Bank,1
"Bank of China Limited, Macau Branch",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
Shandong Federation of Rural Credit Cooperatives,1
Yunnan Federation of Rural Credit Cooperatives,1
"Beijing Lianjia Real Estate Brokerage Co., Ltd.",1
China Everbright Bank,1
"China CITIC Bank Co., Ltd.",1
"Bank of Ningbo Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"Bank of Dalian Co., Ltd.",1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
Guangdong Federation of Rural Credit Cooperatives,1
"China CITIC Bank Co., Ltd.",1
"Jiangxi Changhe Automobile Co., Ltd.",1
Fujian Federation of Rural Credit Cooperatives,1
"China Everbright Bank Co., Ltd.",1
Bank of East Asia (China) Limited,1
"Beijing Boxintu Information Technology Co., Ltd.",1
Bank of China Limited,1
"China CITIC Bank Co., Ltd.",1
"Beijing Lianjia Real Estate Brokerage Co., Ltd.",1
Shijiazhuang Commercial Bank,1
Nanyang Commercial Bank (China) Limited,1
Guizhou Federation of Rural Credit Cooperatives,1
"Industrial Bank Co., Ltd.",1
Bank of East Asia (China) Limited,1
China Construction Bank Corporation,1
"Hua Xia Bank Co., Ltd.",1
"China Everbright Bank Co., Ltd.",1
"Dongguan Bank Co., Ltd.",1
Shanxi Rural Credit Cooperatives Federation Datong Office,1
"Beijing Lianzhong Computer Technology Co., Ltd.",2
Fujian Federation of Rural Credit Cooperatives,1
"Tianjin Tianqi Group Meiya Automobile Manufacturing Co., Ltd.",1
"Hainan Baodaotong Technology Co., Ltd.",1
China Construction Bank Corporation,1
"Beijing Oracle Software Trust Co., Ltd.",1
China Construction Bank Corporation,1
Anhui Federation of Rural Credit Cooperatives,1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",1
Nanyang Commercial Bank (China) Limited,1
China Construction Bank Corporation,1
"Beijing Lianjia Real Estate Brokerage Co., Ltd.",1
"Fuzhou Commercial Bank Co., Ltd.",1
China Construction Bank Corporation,1
"Dongguan Bank Co., Ltd.",1
"Sino-German Housing Savings Bank Co., Ltd.",1
China Construction Bank Corporation,1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",2
China Construction Bank Corporation,1
"Beijing Futong Oriental Technology Co., Ltd.",2
"China CITIC Bank Co., Ltd.",1
China Construction Bank Corporation,1
Bank of China Limited,1
"Tai'an Commercial Bank Co., Ltd.",1
"Bank of China Limited, Macau Branch",1
China Construction Bank Corporation,1
"Beijing Rural Commercial Bank Co., Ltd.",1
Agricultural Bank of China Shandong Branch,1
China Construction Bank Corporation,1
Credit Card Center of China Minsheng Banking Corporation,1
"Bohai Bank Co., Ltd.",1
"Hankou Bank Co., Ltd.",1
Jinan Commercial Bank,1
China Construction Bank Corporation,1
"Shengjing Bank Co., Ltd.",1
Beijing Rural Commercial Bank,1
China Construction Bank Corporation,1
Jiangxi Federation of Rural Credit Cooperatives,1
China Construction Bank Corporation Xinjiang Uygur Autonomous Region Branch,1
"Bank of Communications Co., Ltd.",1
China Construction Bank Corporation,1
"Lanzhou Bank Co., Ltd.",1
"Bank of Beijing Co., Ltd.",1
"Beijing Duosi Technology Development Co., Ltd.",1
"Beijing Huasheng Tiancheng Technology Co., Ltd.",2
"China Construction Bank Co., Ltd. Beijing Branch",1
Pudong Development Bank,1
China Construction Bank Corporation,1
"Xinchen Technology Co., Ltd.",1
Zhangjiakou Commercial Bank,1
Guangdong Federation of Rural Credit Cooperatives,1
China Construction Bank Corporation,1
"China CITIC Bank Co., Ltd.",1
"China CITIC Bank Co., Ltd.",1
"Bank of Chengdu Co., Ltd.",1
China Construction Bank Corporation,1
Guangxi Zhuang Autonomous Region Rural Credit Cooperatives United Cooperative,1
Shenzhen Rural Commercial Bank,1
China Construction Bank Corporation,1
"Bank of Communications Co., Ltd.",1
"Beijing Lianzhong Computer Technology Co., Ltd.",2
Hengfeng Bank,1
"Bank of Qingdao Co., Ltd.",1
Shanghai Pudong Development Bank,1
Bank of East Asia (China) Limited,1
China Construction Bank Corporation,3
"Yuxin Data Technology Co., Ltd.",2
"Anhui Huaihua Group Co., Ltd.",1
Shanghai Pudong Development Bank,1
Quanzhou Commercial Bank,1
"Yuxin Data Technology Co., Ltd.",2
"Rural Credit Bank Capital Clearing Center Co., Ltd.",1
China Construction Bank Corporation,1
"Beijing I Love My Home Real Estate Brokerage Co., Ltd.",1
Bank of East Asia (China) Limited,1
Shanghai Pudong Development Bank,1
Shanghai Pudong Development Bank,1
"China CITIC Bank Co., Ltd.",1
"Bank of Communications Co., Ltd.",1
"China CITIC Bank Co., Ltd.",1
"Lenovo Wangyu Technology (Beijing) Co., Ltd.",2
China Everbright Bank,1
China Everbright Bank,1
"Beijing Yuxinhongtai Technology Development Co., Ltd.",1
China Everbright Bank,1
China Everbright Bank,1
Shenzhen Development Bank,1
"Beijing Huazheng Puhui Information Co., Ltd.",1
"ICBC Credit Suisse Fund Management Co., Ltd.",1
"Chongqing Rural Commercial Bank Co., Ltd.",1
China Construction Bank Corporation,1
Zhejiang Federation of Rural Credit Cooperatives,1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
"Bank of Communications Co., Ltd.",1
"Beijing Lianzhong Computer Technology Co., Ltd.",2
Yunnan Federation of Rural Credit Cooperatives,1
"Bank of Communications Co., Ltd.",1
"Beijing Delphi Wanyuan Engine Management System Co., Ltd.",1
"Beijing Delphi Wanyuan Engine Management System Co., Ltd.",1
"China Everbright Bank Co., Ltd.",1
Shanxi Federation of Rural Credit Cooperatives,1
"Beijing Delphi Wanyuan Engine Management System Co., Ltd.",1
"Dazhou City Credit Union Co., Ltd.",1
"China Development Bank Co., Ltd.",1
"Shanghai Soufun Advertising Co., Ltd.",1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
Agricultural Bank of China,1
"China CITIC Bank Co., Ltd.",1
China Construction Bank Corporation,1
"Guangdong Development Bank Co., Ltd.",1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
China Construction Bank Corporation,1
"Jiangsu Linggu Chemical Co., Ltd.",1
"Ningxia Coal Industry Group Co., Ltd.",1
"Double Bridge Technologies, Inc.",2
Hinge Global Resources Inc.,1
Analogix International,1
Analogix International,1
Analogix International,1
Analogix International,1
Analogix International,1
Analogix International,2
Analogix International,2
Analogix International,2
Analogix International,2
Analogix International,1
Analogix International,1
Urban and Rural Planning Management Center of the Ministry of Housing and Urban-Rural Development,1
Ningxia Hui Autonomous Region Land and Resources Geographic Information Center,1
Tianjin Real Estate Market Management Office,1
Tianjin Real Estate Economic and Technical Information Center,1
"Tianyu Nengke (Beijing) Technology Co., Ltd.",1
Jiangsu Provincial Bureau of Surveying and Mapping,1
"Qin Gu (Shanghai) Information Consulting Co., Ltd.",3
"Qin Gu (Shanghai) Information Consulting Co., Ltd.",3
"Qin Gu (Shanghai) Information Consulting Co., Ltd.",3
"Qin Gu (Shanghai) Information Consulting Co., Ltd.",3
"Qin Gu (Shanghai) Information Consulting Co., Ltd.",3
"Beijing Shengfengming Information Technology Co., Ltd.",3
"Beijing Online Recruitment Consulting Co., Ltd.",3
"Shanghai Diecuishi Commercial Co., Ltd.",3
"Fortune Software (Beijing) Co., Ltd.",3
"Media Asia Education Technology (Beijing) Co., Ltd.",3
"Alibaba (China) Network Technology Co., Ltd.",3
"Beijing Weisu Technology Co., Ltd.",3
"Search Review Network (Shenzhen) Co., Ltd.",2
"Jebus Trading (Shanghai) Co., Ltd.",2
"Beijing Yinglichi Technology Co., Ltd.",2
"Beijing Baiyidakang Technology Co., Ltd.",2
"Beijing Baiyidakang Technology Co., Ltd.",2
"Beijing Baiyidakang Technology Co., Ltd.",2
"Beijing Baiyidakang Technology Co., Ltd.",2
"Beijing Baiyidakang Technology Co., Ltd.",2
"Beijing Yinglichi Technology Co., Ltd.",2
"Shanghai Shenyou Advertising Co., Ltd.",2
"Agilent Technologies (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"Shibiyou Business Consulting (Shanghai) Co., Ltd.",2
"Shibiyou Business Consulting (Shanghai) Co., Ltd.",2
"Shibiyou Business Consulting (Shanghai) Co., Ltd.",2
"Taikanen (Beijing) E-Commerce Co., Ltd.",2
"Taikanen (Beijing) E-Commerce Co., Ltd.",2
"Taikanen (Beijing) E-Commerce Co., Ltd.",2
"360 Circle Information Technology (Beijing) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"Beijing Baiyidakang Technology Co., Ltd.",2
"Beijing Baiyidakang Technology Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China Co., Ltd.)",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"Hanhai Information Technology (Shanghai) Co., Ltd.",2
"Guangdong Aha Media Services Co., Ltd.",2
"Agilent Technologies (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Excellence Software Technology (Beijing) Co., Ltd. Xi'an Branch",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"Beijing Baiyidakang Technology Co., Ltd.",2
"Beijing Baiyidakang Technology Co., Ltd.",2
"Hitachi Information Systems (Shanghai) Co., Ltd. Beijing Branch",3
"Shibiyou Business Consulting (Shanghai) Co., Ltd.",1
"NEC Excellence Software Technology (Beijing) Co., Ltd. Xi'an Branch",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
"NEC Information Systems (China) Co., Ltd.",2
